USER STORIES — TRACK'N SHARE,,,,,,,,,,
Backlog fonctionnel prêt pour GitHub Project : une ligne = une user story exploitable en issue ou carte Kanban.,,,,,,,,,,
ID,Epic,Titre,Acteur,Priorité,Taille,Statut,User story,Critères d'acceptation,Labels,Sprint conseillé
US-017,Profil,Modifier mon profil,Joueur connecté,P0,M,Backlog,"En tant que joueur connecté, je veux modifier mon profil, afin de personnaliser mon identité sur la plateforme.",Pseudo bio avatar modifiables | Sauvegarde API | Modification limitée au propriétaire,"frontend, backend, profile, mvp",S4
US-018,Profil,Ajouter un avatar,Joueur connecté,P1,M,Backlog,"En tant que joueur connecté, je veux ajouter un avatar, afin de personnaliser mon profil.",Formats PNG JPG WebP | Taille limitée | Avatar visible profil et leaderboard,"frontend, backend, upload, profile",S8
US-019,Profil,Ajouter une bannière de profil,Joueur connecté,P1,M,Backlog,"En tant que joueur connecté, je veux ajouter une bannière, afin de rendre mon profil plus visuel.",Bannière visible | Format et taille vérifiés,"frontend, backend, upload, profile",S8
US-020,Profil,Gérer la visibilité de mon profil,Joueur connecté,P1,M,Backlog,"En tant que joueur, je veux choisir si mon profil est public ou privé, afin de contrôler mes données visibles.",Choix public privé | Pages publiques respectent le choix,"frontend, backend, privacy, profile",S8
US-021,Profil,Masquer certaines statistiques,Joueur connecté,P1,M,Backlog,"En tant que joueur, je veux masquer certaines statistiques, afin de garder le contrôle sur les données affichées aux autres.",Stats masquées publiquement | Propriétaire les voit toujours,"frontend, backend, privacy, stats",S8
US-022,Jeux et comptes liés,Consulter la liste des jeux disponibles,Joueur connecté,P0,M,Backlog,"En tant que joueur, je veux consulter la liste des jeux disponibles, afin de choisir ceux pour lesquels suivre mes statistiques.",Liste des jeux visible | Accès stats ou leaderboard par jeu,"frontend, backend, games, mvp",S4
US-023,Jeux et comptes liés,Lier un compte de jeu,Joueur connecté,P0,L,Backlog,"En tant que joueur, je veux lier un compte de jeu, afin de récupérer mes statistiques automatiquement.",Plateforme sélectionnable | Compte sauvegardé | Tokens non exposés côté front,"backend, frontend, integrations, mvp",S4
US-024,Jeux et comptes liés,Utiliser une API mockée de statistiques,Équipe projet,P0,M,Backlog,"En tant qu'équipe projet, je veux disposer d'une API mockée, afin de sécuriser la démonstration même sans API externe réelle.",Retourne wins losses kills deaths matchesPlayed | Alimente dashboard et leaderboards,"backend, mock, demo, stats, mvp",S4
US-025,Jeux et comptes liés,Rafraîchir mes statistiques,Joueur connecté,P0,M,Backlog,"En tant que joueur, je veux rafraîchir mes statistiques, afin de mettre à jour mon score et mon classement.",Bouton sync | Stats sauvegardées | Score recalculé | Date de sync visible,"frontend, backend, stats, mvp",S4
US-026,Jeux et comptes liés,Voir la date de dernière synchronisation,Joueur connecté,P1,S,Backlog,"En tant que joueur, je veux voir la date de dernière synchronisation, afin de savoir si mes statistiques sont à jour.",Date visible dashboard ou page stats,"frontend, stats, bonus",S5
US-027,Jeux et comptes liés,Gérer l'échec d'une API externe,Joueur connecté,P0,M,Backlog,"En tant que joueur, je veux recevoir un message clair si une API externe échoue, afin de comprendre que mes anciennes données restent disponibles.",Pas de crash | Anciennes stats visibles | Message d'erreur clair,"backend, frontend, integrations, sécurité-demo",S4
US-028,Jeux et comptes liés,Supprimer un compte de jeu lié,Joueur connecté,P1,M,Backlog,"En tant que joueur, je veux délier un compte de jeu, afin de ne plus synchroniser ses données.",Lien supprimable | Tokens supprimés ou révoqués si possible,"backend, frontend, integrations, privacy",S8
US-029,Statistiques et dashboard,Consulter mon dashboard,Joueur connecté,P0,M,Backlog,"En tant que joueur, je veux consulter un dashboard clair, afin de voir rapidement mes performances principales.",Score K/D winrate parties rang saison visibles | Responsive,"frontend, dashboard, stats, mvp",S4
US-030,Statistiques et dashboard,Voir mon K/D ratio,Joueur connecté,P0,S,Backlog,"En tant que joueur, je veux voir mon K/D ratio, afin d'évaluer mes performances individuelles.",K/D calculé kills/deaths | Division par zéro gérée,"backend, frontend, stats",S4
US-031,Statistiques et dashboard,Voir mon winrate,Joueur connecté,P0,S,Backlog,"En tant que joueur, je veux voir mon winrate, afin de comprendre mon taux de victoire.",Winrate calculé wins/losses | Affichage en pourcentage,"backend, frontend, stats",S4
US-032,Statistiques et dashboard,Voir mon nombre de parties jouées,Joueur connecté,P0,S,Backlog,"En tant que joueur, je veux voir mon nombre de parties jouées, afin de mesurer mon activité.",Nombre de parties visible | Utilisé pour éligibilité leaderboard,"frontend, backend, stats",S4
US-033,Statistiques et dashboard,Voir un état vide de première utilisation,Nouveau joueur,P0,M,Backlog,"En tant que nouveau joueur, je veux voir un état vide clair si je n'ai pas encore de statistiques, afin de comprendre quoi faire ensuite.",État vide clair | Action lier compte ou démo | Pas d'écran cassé,"frontend, ux, stats, mvp",S4
US-034,Statistiques et dashboard,Consulter des graphiques de progression,Joueur connecté,P1,L,Backlog,"En tant que joueur, je veux voir des graphiques de progression, afin de visualiser l'évolution de mon score, K/D ou winrate.",Graphique par période | Choix statistique | Responsive,"frontend, charts, stats, bonus",S8
US-035,Statistiques et dashboard,Comparer mes statistiques avec la moyenne de mon équipe,Membre d'équipe,P1,M,Backlog,"En tant que membre d'équipe, je veux comparer mes statistiques à la moyenne de mon équipe, afin de situer mon niveau.",Stats individuelles et moyennes affichées côte à côte,"frontend, teams, stats, bonus",S8
US-036,Score et classement,Calculer mon score,Joueur connecté,P0,M,Backlog,"En tant que joueur, je veux que mon score soit calculé automatiquement, afin d'apparaître dans les classements.",Score basé sur K/D winrate parties | Recalcul après sync,"backend, scoring, mvp",S5
US-037,Score et classement,Documenter la formule de score,Joueur connecté,P0,S,Backlog,"En tant que joueur, je veux comprendre comment mon score est calculé, afin de juger le classement comme transparent.",Formule visible ou documentée | Coefficients expliqués,"frontend, documentation, scoring",S5
US-038,Score et classement,Appliquer un minimum de parties pour le classement,Système,P0,S,Backlog,"En tant que système, je veux exclure les joueurs ayant trop peu de parties, afin d'éviter les classements injustes.",Moins de 10 parties non classé | Explication visible,"backend, leaderboard, scoring, mvp",S5
US-039,Score et classement,Consulter le leaderboard solo,Joueur connecté,P0,M,Backlog,"En tant que joueur, je veux consulter un leaderboard solo, afin de comparer mon score avec celui des autres joueurs.",Rang joueur score K/D winrate parties visibles | Tri score décroissant,"frontend, backend, leaderboard, mvp",S5
US-040,Score et classement,Filtrer le leaderboard par jeu,Joueur connecté,P0,M,Backlog,"En tant que joueur, je veux filtrer le leaderboard par jeu, afin de comparer les performances sur un jeu précis.",Filtre jeu disponible | Résultats changent selon jeu,"frontend, backend, leaderboard",S5
US-041,Score et classement,Filtrer le leaderboard par saison,Joueur connecté,P0,M,Backlog,"En tant que joueur, je veux filtrer le leaderboard par saison, afin de consulter les classements actuels ou archivés.",Filtre saison disponible | Archives affichées,"frontend, backend, leaderboard, seasons",S5
US-042,Score et classement,Consulter mon rang actuel,Joueur connecté,P0,S,Backlog,"En tant que joueur, je veux voir mon rang actuel, afin de savoir où je me situe dans le classement.",Rang visible dashboard ou profil,"frontend, leaderboard, stats",S5
US-043,Score et classement,Comparer deux joueurs,Joueur connecté,P1,M,Backlog,"En tant que joueur, je veux comparer deux joueurs, afin de voir leurs différences de score, K/D, winrate et rang.",Deux joueurs sélectionnables | Tableau comparatif | Profils privés respectés,"frontend, compare, stats, bonus",S8
US-044,Saisons et historique,Créer une saison courante,Système,P0,M,Backlog,"En tant que système, je veux gérer une saison courante, afin d'associer les statistiques à une période de trois mois.",Nom dates statut | Stats liées à une saison,"backend, seasons, mvp",S5
US-045,Saisons et historique,Consulter la saison en cours,Joueur connecté,P0,S,Backlog,"En tant que joueur, je veux voir la saison en cours, afin de comprendre sur quelle période mes statistiques sont calculées.",Nom saison active visible dashboard ou leaderboard,"frontend, seasons, stats",S5
US-046,Saisons et historique,Archiver une saison terminée,Système,P0,L,Backlog,"En tant que système, je veux archiver les statistiques à la fin d'une saison, afin de conserver l'historique des performances.",Stats non écrasées | Leaderboards archivés consultables,"backend, seasons, archive, mvp",S6
US-047,Saisons et historique,Consulter mes anciennes saisons,Joueur connecté,P0,M,Backlog,"En tant que joueur, je veux consulter mes anciennes saisons, afin de suivre mon évolution dans le temps.",Page saisons liste les saisons | Ouverture saison passée,"frontend, backend, seasons, mvp",S6
US-048,Saisons et historique,Comparer deux saisons,Joueur connecté,P1,M,Backlog,"En tant que joueur, je veux comparer deux saisons, afin de voir si mes performances progressent.",Deux saisons sélectionnables | Stats principales comparées,"frontend, seasons, compare, bonus",S8
US-049,Équipes,Créer une équipe,Joueur connecté,P0,M,Backlog,"En tant que joueur, je veux créer une équipe, afin de regrouper mes amis et comparer nos performances collectives.",Nom tag description | Créateur capitaine | Page équipe créée,"frontend, backend, teams, mvp",S6
US-050,Équipes,Générer un code d'invitation,Capitaine,P0,M,Backlog,"En tant que capitaine, je veux générer un code d'invitation, afin de permettre à d'autres joueurs de rejoindre mon équipe.",Code unique généré | Code utilisable pour rejoindre,"backend, teams, invitations, mvp",S6
US-051,Équipes,Rejoindre une équipe par code,Joueur connecté,P0,M,Backlog,"En tant que joueur, je veux rejoindre une équipe avec un code, afin d'intégrer facilement le groupe d'un ami.",Code valide ajoute l'utilisateur | Code invalide = erreur claire,"frontend, backend, teams, invitations",S6
US-052,Équipes,Consulter la page de mon équipe,Membre d'équipe,P0,M,Backlog,"En tant que membre, je veux consulter la page de mon équipe, afin de voir les membres et les performances collectives.",Infos équipe visibles | Liste membres | Stats collectives,"frontend, backend, teams, mvp",S6
US-053,Équipes,Voir les rôles des membres,Membre d'équipe,P0,S,Backlog,"En tant que membre, je veux voir les rôles dans l'équipe, afin de savoir qui est capitaine, co-capitaine ou membre.",Chaque membre affiche son rôle,"frontend, teams, roles",S6
US-054,Équipes,Modifier les informations d'équipe,Capitaine,P0,M,Backlog,"En tant que capitaine, je veux modifier les informations de mon équipe, afin de maintenir la page à jour.",Rôle autorisé requis | Sauvegarde des modifications,"frontend, backend, teams, roles",S6
US-055,Équipes,Promouvoir un membre,Capitaine,P1,M,Backlog,"En tant que capitaine, je veux promouvoir un membre en co-capitaine, afin de partager la gestion de l'équipe.",Seul capitaine peut promouvoir | Nouveau rôle visible,"backend, frontend, teams, bonus",S8
US-056,Équipes,Exclure un membre,Capitaine,P1,M,Backlog,"En tant que capitaine, je veux exclure un membre, afin de gérer correctement mon équipe.",Capitaine peut exclure membre | Impossible pour membre d'exclure capitaine,"backend, teams, roles, bonus",S8
US-057,Équipes,Quitter une équipe,Membre d'équipe,P0,M,Backlog,"En tant que membre, je veux quitter une équipe, afin de ne plus en faire partie.",Confirmation demandée | Membre retiré | Accès privé retiré,"frontend, backend, teams, mvp",S6
US-058,Équipes,Supprimer une équipe,Capitaine,P1,M,Backlog,"En tant que capitaine, je veux supprimer mon équipe, afin de fermer un groupe qui n'est plus actif.",Seul capitaine | Confirmation forte,"backend, frontend, teams, bonus",S8
US-059,Équipes,Consulter les statistiques d'équipe,Membre d'équipe,P0,M,Backlog,"En tant que membre, je veux consulter les statistiques globales de mon équipe, afin d'évaluer nos performances collectives.",Score moyen total | K/D moyen | Winrate moyen,"frontend, backend, teams, stats, mvp",S6
US-060,Équipes,Consulter le meilleur joueur de l'équipe,Membre d'équipe,P1,S,Backlog,"En tant que membre, je veux voir le meilleur joueur de l'équipe, afin de valoriser les performances internes.",Meilleur joueur calculé selon score ou règle définie,"frontend, teams, stats, bonus",S8
US-061,Équipes,Consulter le leaderboard d'équipe,Joueur connecté,P0,M,Backlog,"En tant que joueur, je veux consulter le leaderboard des équipes, afin de comparer les performances collectives.",Équipes triées | Stats principales affichées,"frontend, backend, leaderboard, teams",S7
US-062,Équipes,Filtrer le leaderboard d'équipe par jeu et saison,Joueur connecté,P1,M,Backlog,"En tant que joueur, je veux filtrer le leaderboard d'équipe, afin de comparer les équipes dans un contexte précis.",Filtres jeu et saison disponibles,"frontend, backend, teams, leaderboard",S8
US-063,Chat et temps réel,Accéder au chat d'équipe,Membre d'équipe,P0,M,Backlog,"En tant que membre d'équipe, je veux accéder au chat de mon équipe, afin de communiquer avec mes coéquipiers.",Chat accessible depuis équipe | Seuls membres autorisés,"frontend, backend, chat, mvp",S7
US-064,Chat et temps réel,Envoyer un message dans le chat d'équipe,Membre d'équipe,P0,M,Backlog,"En tant que membre d'équipe, je veux envoyer un message dans le chat, afin d'échanger avec mon équipe.",Message envoyé serveur | Affichage chat | Auteur et date associés,"frontend, backend, chat, socketio",S7
US-065,Chat et temps réel,Recevoir les messages en temps réel,Membre d'équipe,P0,M,Backlog,"En tant que membre d'équipe, je veux recevoir les messages en temps réel, afin d'avoir une conversation fluide.",Message reçu sans refresh | Socket.io utilisé,"frontend, backend, chat, socketio",S7
US-066,Chat et temps réel,Charger l'historique du chat,Membre d'équipe,P0,M,Backlog,"En tant que membre d'équipe, je veux voir l'historique du chat, afin de retrouver les messages précédents.",Anciens messages chargés | Historique disponible après refresh,"frontend, backend, chat, bdd",S7
US-067,Chat et temps réel,Bloquer l'accès au chat aux non-membres,Système,P0,M,Backlog,"En tant que système, je veux empêcher les non-membres d'accéder au chat, afin de protéger les conversations d'équipe.",Accès vérifié back-end | Non membre refusé,"backend, chat, teams, sécurité",S7
US-068,Chat et temps réel,Supprimer ou masquer un message,Membre ou modérateur,P1,M,Backlog,"En tant qu'utilisateur autorisé, je veux supprimer ou masquer un message, afin de corriger une erreur ou modérer un contenu.",Auteur ou rôle autorisé | Message masqué ou supprimé,"backend, frontend, chat, moderation",S8
US-069,Chat et temps réel,Envoyer un message privé,Joueur connecté,P1,L,Backlog,"En tant que joueur, je veux envoyer un message privé, afin de communiquer directement avec un autre joueur.",Deux utilisateurs autorisés | Messages privés limités aux participants,"backend, frontend, messages, bonus",S8
US-070,Chat et temps réel,Afficher le statut en ligne,Joueur connecté,P1,M,Backlog,"En tant que joueur, je veux voir si mes amis ou coéquipiers sont en ligne, afin de savoir s'ils sont disponibles.",Statut simple en ligne/hors ligne affiché,"frontend, backend, socketio, bonus",S8
US-071,Social et communauté,Ajouter un ami,Joueur connecté,P1,M,Backlog,"En tant que joueur, je veux ajouter un autre joueur en ami, afin de suivre plus facilement ses performances.",Demande d'ami envoyée | Destinataire accepte ou refuse,"frontend, backend, friends, bonus",S8
US-072,Social et communauté,Supprimer un ami,Joueur connecté,P1,S,Backlog,"En tant que joueur, je veux supprimer un ami, afin de gérer ma liste de contacts.",Ami retiré | Relation supprimée des deux côtés,"frontend, backend, friends",S8
US-073,Social et communauté,Consulter ma liste d'amis,Joueur connecté,P1,M,Backlog,"En tant que joueur, je veux consulter ma liste d'amis, afin d'accéder rapidement à leurs profils.",Liste affiche pseudo avatar statut si disponible,"frontend, backend, friends",S8
US-074,Social et communauté,Bloquer un utilisateur,Joueur connecté,P1,M,Backlog,"En tant que joueur, je veux bloquer un utilisateur, afin d'empêcher les interactions indésirables.",Utilisateur bloqué ne peut plus envoyer MP ou demande ami,"frontend, backend, privacy, moderation",S8
US-075,Social et communauté,Rechercher un joueur,Joueur connecté,P1,M,Backlog,"En tant que joueur, je veux rechercher un joueur, afin de consulter son profil ou l'ajouter en ami.",Résultats selon texte | Profils privés protégés,"frontend, backend, search, players",S8
US-076,Social et communauté,Rechercher une équipe,Joueur connecté,P1,M,Backlog,"En tant que joueur, je veux rechercher une équipe, afin de trouver un groupe à rejoindre ou comparer.",Résultats équipes | Visibilité des équipes privées respectée,"frontend, backend, search, teams",S8
US-077,Gamification,Débloquer un badge,Joueur connecté,P1,M,Backlog,"En tant que joueur, je veux débloquer des badges, afin d'être récompensé pour mon activité.",Badge attribué si condition remplie | Visible sur profil,"backend, frontend, achievements",S8
US-078,Gamification,Consulter mes badges,Joueur connecté,P1,M,Backlog,"En tant que joueur, je veux consulter mes badges, afin de voir mes réussites sur la plateforme.",Badges débloqués affichés | Badges non débloqués gérés selon UX,"frontend, achievements, profile",S8
US-079,Gamification,Créer un objectif personnel,Joueur connecté,P1,M,Backlog,"En tant que joueur, je veux créer un objectif personnel, afin de suivre ma progression vers une performance précise.",Objectif lié à K/D winrate score ou classement,"frontend, backend, goals",S8
US-080,Gamification,Suivre la progression d'un objectif,Joueur connecté,P1,M,Backlog,"En tant que joueur, je veux suivre la progression de mes objectifs, afin de savoir ce qu'il me reste à accomplir.",Progression visible | Objectif marquable comme atteint,"frontend, backend, goals",S8
US-081,Gamification,Générer une carte de performance partageable,Joueur connecté,P2,L,Backlog,"En tant que joueur, je veux générer une carte de performance, afin de partager mes résultats de saison.",Carte avec pseudo saison score K/D winrate rang | Données privées respectées,"frontend, share, bonus",Future
US-082,Notifications,Recevoir une notification d'invitation d'équipe,Joueur connecté,P1,M,Backlog,"En tant que joueur, je veux recevoir une notification lorsqu'une équipe m'invite, afin de répondre rapidement.",Notification créée | Lien vers invitation,"frontend, backend, notifications, teams",S8
US-083,Notifications,Recevoir une notification de nouveau message,Joueur connecté,P1,M,Backlog,"En tant que joueur, je veux recevoir une notification de nouveau message, afin de ne pas manquer les échanges importants.",Notification message non lu | Lien vers conversation,"frontend, backend, notifications, chat",S8
US-084,Notifications,Recevoir une notification de badge débloqué,Joueur connecté,P1,S,Backlog,"En tant que joueur, je veux être notifié quand je débloque un badge, afin de valoriser ma progression.",Notification créée au déblocage badge,"frontend, backend, notifications, achievements",S8
US-085,Notifications,Marquer une notification comme lue,Joueur connecté,P1,S,Backlog,"En tant que joueur, je veux marquer mes notifications comme lues, afin de garder une interface propre.",Statut lu/non lu mis à jour,"frontend, backend, notifications",S8
US-086,Notifications,Recevoir des notifications push PWA,Utilisateur PWA,P2,L,Backlog,"En tant qu'utilisateur PWA, je veux recevoir des notifications push, afin d'être averti même lorsque l'application n'est pas ouverte.",Autorisation utilisateur | Préférences respectées,"pwa, notifications, future",Future
US-087,PWA et mobile,Installer l'application en PWA,Utilisateur,P0,M,Backlog,"En tant qu'utilisateur, je veux installer Track'N Share comme une application, afin d'y accéder rapidement depuis mon appareil.",Manifest valide | Installation possible | Mode standalone,"frontend, pwa, mvp",S2
US-088,PWA et mobile,Utiliser l'application sur mobile,Utilisateur mobile,P0,M,Backlog,"En tant qu'utilisateur mobile, je veux utiliser toutes les pages principales sur petit écran, afin d'avoir une expérience confortable.",Dashboard profil leaderboards équipes chat responsive,"frontend, mobile, pwa, responsive",S8
US-089,PWA et mobile,Accéder à une page offline simple,Utilisateur PWA,P1,M,Backlog,"En tant qu'utilisateur, je veux voir une page offline si je perds ma connexion, afin de comprendre la situation.",Page offline claire | Données sensibles non exposées,"frontend, pwa, offline",S8
US-090,PWA et mobile,Nettoyer les données sensibles à la déconnexion,Système,P0,M,Backlog,"En tant que système, je veux nettoyer les données sensibles lors de la déconnexion, afin de protéger l'utilisateur sur PWA.",Données privées invisibles après logout | Cache PWA sécurisé,"frontend, pwa, sécurité, mvp",S8
US-091,Sécurité et confidentialité,Hasher les mots de passe,Système,P0,M,Backlog,"En tant que système, je veux hasher les mots de passe, afin de protéger les comptes utilisateurs.",Argon2 ou bcrypt | Aucun mot de passe en clair,"backend, sécurité, auth, mvp",S3
US-092,Sécurité et confidentialité,Utiliser des cookies ou tokens sécurisés,Système,P0,M,Backlog,"En tant que système, je veux gérer l'authentification avec des mécanismes sécurisés, afin de limiter les risques de vol de session.",Tokens non exposés inutilement | Cookies HttpOnly Secure SameSite si retenus,"backend, auth, sécurité",S3
US-093,Sécurité et confidentialité,Valider les données côté back-end,Système,P0,M,Backlog,"En tant que système, je veux valider tous les DTO, afin d'empêcher les données invalides ou malveillantes.",Payloads invalides rejetés | Erreurs claires,"backend, validation, sécurité",S2
US-094,Sécurité et confidentialité,Vérifier les permissions sur chaque ressource,Système,P0,L,Backlog,"En tant que système, je veux vérifier les permissions côté back-end, afin d'empêcher les actions non autorisées.",Profil personnel uniquement | Chat équipe protégé | Rôles équipe respectés,"backend, sécurité, permissions, mvp",S6
US-095,Sécurité et confidentialité,Limiter les tentatives de connexion,Système,P0,M,Backlog,"En tant que système, je veux limiter les tentatives de connexion, afin de réduire le risque de bruteforce.",Rate limit sur /login | Tentatives abusives ralenties ou bloquées,"backend, sécurité, rate-limit",S8
US-096,Sécurité et confidentialité,Chiffrer les tokens externes,Système,P1,M,Backlog,"En tant que système, je veux chiffrer les tokens externes, afin de protéger les comptes de jeu liés.",Tokens non stockés en clair | Clés en variables d'environnement,"backend, sécurité, integrations",S8
US-097,Sécurité et confidentialité,Chiffrer les messages stockés,Système,P1,M,Backlog,"En tant que système, je veux chiffrer les messages en base, afin de protéger les conversations en cas de fuite de données.",Contenu chiffré si activé | IV unique par message,"backend, sécurité, chat",S8
US-098,Sécurité et confidentialité,Ne pas logger les données sensibles,Système,P0,S,Backlog,"En tant que système, je veux éviter les logs contenant des données sensibles, afin de ne pas exposer mots de passe, tokens ou messages.",Pas de mots de passe tokens messages dans logs,"backend, sécurité, logs",S8
US-099,Sécurité et confidentialité,Supprimer mon compte,Joueur connecté,P1,M,Backlog,"En tant que joueur, je veux supprimer mon compte, afin de contrôler mes données personnelles.",Confirmation forte | Données supprimées ou anonymisées,"frontend, backend, privacy, rgpd",S8
US-100,Sécurité et confidentialité,Exporter mes données personnelles,Joueur connecté,P2,M,Backlog,"En tant que joueur, je veux exporter mes données personnelles, afin de récupérer les informations stockées sur moi.",Export lisible généré | Données personnelles utiles présentes,"backend, privacy, rgpd, future",Future
US-101,Modération et administration,Signaler un profil,Joueur connecté,P1,M,Backlog,"En tant que joueur, je veux signaler un profil, afin d'alerter l'équipe sur un comportement problématique.",Motif sélectionnable | Signalement enregistré,"frontend, backend, moderation",S8
US-102,Modération et administration,Signaler un message,Joueur connecté,P1,M,Backlog,"En tant que joueur, je veux signaler un message, afin d'aider à modérer les contenus inappropriés.",Message lié au signalement | Consultable par modérateur,"frontend, backend, moderation, chat",S8
US-103,Modération et administration,Consulter les signalements,Administrateur,P2,M,Backlog,"En tant qu'administrateur, je veux consulter les signalements, afin de traiter les problèmes remontés par les utilisateurs.",Liste admin | Statut des signalements,"backend, frontend, admin, future",Future
US-104,Modération et administration,Désactiver un compte utilisateur,Administrateur,P2,M,Backlog,"En tant qu'administrateur, je veux désactiver un compte, afin de sanctionner un utilisateur problématique.",Admin uniquement | Utilisateur désactivé ne peut plus se connecter,"backend, admin, moderation, future",Future
US-105,Modération et administration,Gérer les jeux disponibles,Administrateur,P2,M,Backlog,"En tant qu'administrateur, je veux gérer les jeux disponibles, afin d'ajouter ou retirer des jeux suivis par la plateforme.",Créer modifier désactiver un jeu,"backend, frontend, admin, games",Future
US-106,Recherche et matchmaking,Rechercher globalement dans la plateforme,Joueur connecté,P1,M,Backlog,"En tant que joueur, je veux effectuer une recherche globale, afin de trouver rapidement des joueurs, équipes ou jeux.",Résultats multi-types | Groupés par catégorie,"frontend, backend, search",S8
US-107,Recherche et matchmaking,Filtrer les joueurs par statistiques,Joueur connecté,P2,M,Backlog,"En tant que joueur, je veux filtrer les joueurs par K/D ou winrate, afin de trouver des profils proches de mon niveau.",Filtres stats disponibles | Confidentialité respectée,"frontend, backend, search, future",Future
US-108,Recherche et matchmaking,Trouver une équipe qui recrute,Joueur connecté,P2,M,Backlog,"En tant que joueur, je veux trouver une équipe qui recrute, afin de rejoindre un groupe adapté à mon profil.",Équipes ouvertes visibles | Critères jeu niveau disponibilité,"frontend, backend, matchmaking, future",Future
