RÉPARTITION DES TÂCHES — TRACK'N SHARE,,,,,,,,,,,,,
"Feuille préparée pour reporter les tâches dans GitHub Project : créer une issue par ligne, reprendre le responsable, la priorité, les labels, les dépendances et les critères d'acceptation.",,,,,,,,,,,,,
ID,Phase,Epic,Titre GitHub Issue,Description,Responsable,Priorité,Statut initial,Taille,Labels GitHub,Dépendances,Critères d'acceptation,Livrable / preuve,Sprint conseillé
TNS-036,S4,Profil,Créer endpoints profil utilisateur,Développer lecture et modification du profil utilisateur.,Ioanes,P0,Backlog,M,"backend, profil","TNS-033, TNS-027",Un utilisateur peut lire et modifier son profil autorisé.,Endpoints profil,S4
TNS-037,S4,Profil,Créer page profil utilisateur,"Afficher pseudo, avatar, bio, stats principales, équipe et saison actuelle.",Clément,P0,Backlog,M,"frontend, profil",TNS-036,La page profil affiche correctement les données utilisateur.,Page profil,S4
TNS-038,S4,Profil,Créer page paramètres compte,"Permettre la modification du pseudo, bio, avatar placeholder et confidentialité.",Clément,P1,Backlog,M,"frontend, settings, profil",TNS-036,L'utilisateur peut modifier les informations prévues.,Page settings,S4
TNS-039,S4,Jeux & stats,Créer le module jeux côté back-end,Développer endpoints pour lister les jeux disponibles et consulter un jeu.,Ioanes,P0,Backlog,M,"backend, games","TNS-022, TNS-027",Le front peut récupérer la liste des jeux.,Endpoints games,S4
TNS-040,S4,Jeux & stats,Créer l'API mock de statistiques,Créer une API interne simulant les stats d'un joueur pour sécuriser le MVP.,Ioanes,P0,Backlog,M,"backend, stats, mock, demo",TNS-039,"L'API retourne wins, losses, kills, deaths, matchesPlayed.",Endpoint mock stats,S4
TNS-041,S4,Jeux & stats,Créer le service de synchronisation stats,Développer le service qui récupère ou simule les statistiques et les sauvegarde.,Ioanes,P0,Backlog,L,"backend, stats","TNS-040, TNS-028",Les stats peuvent être rafraîchies et persistées.,Service sync stats,S4
TNS-042,S4,Jeux & stats,Afficher les statistiques sur le dashboard,"Créer les cartes K/D, winrate, parties, score et saison actuelle.",Clément,P0,Backlog,M,"frontend, dashboard, stats",TNS-041,Le dashboard affiche des statistiques lisibles.,Dashboard stats,S4
TNS-043,S4,Jeux & stats,Créer la page liste des jeux,Afficher les jeux disponibles et accès aux leaderboards.,Clément,P1,Backlog,S,"frontend, games",TNS-039,La liste des jeux est visible avec navigation vers détail/leaderboard.,Page games,S4
TNS-044,S5,Scoring,Implémenter la formule de score,"Calculer Score = K/D x 50 + Winrate x 40 + Parties x 0,5.",Ioanes,P0,Backlog,M,"backend, scoring",TNS-041,Le score est calculé de manière stable et documentée.,Service scoring,S5
TNS-045,S5,Scoring,Ajouter règle minimum de parties,Exclure du leaderboard les joueurs avec moins de 10 parties sur la saison.,Ioanes,P0,Backlog,S,"backend, leaderboard, scoring",TNS-044,Les joueurs non éligibles ne sont pas classés.,Règle anti-abus active,S5
TNS-046,S5,Saisons,Créer le module saisons,"Gérer saison courante, dates de début/fin et statut.",Ioanes,P0,Backlog,M,"backend, saisons",TNS-027,Une saison courante peut être créée et utilisée par les stats.,Module saisons,S5
TNS-047,S5,Saisons,Préparer l'archivage de fin de saison,Prévoir le mécanisme pour figer stats et leaderboards à la fin d'une saison.,Ioanes,P1,Backlog,M,"backend, saisons, archivage","TNS-046, TNS-044",Les données peuvent être archivées sans écraser l'historique.,Archivage saison,S6
TNS-048,S5,Leaderboard,Créer endpoint leaderboard solo,Retourner un classement par jeu et par saison.,Ioanes,P0,Backlog,M,"backend, leaderboard","TNS-044, TNS-045, TNS-046",L'API retourne un classement trié par score.,Endpoint leaderboard solo,S5
TNS-049,S5,Leaderboard,Créer page leaderboard solo,"Afficher rang, joueur, score, K/D, winrate, parties et saison.",Clément,P0,Backlog,M,"frontend, leaderboard",TNS-048,Le classement est lisible sur desktop et mobile.,Page leaderboard solo,S5
TNS-050,S5,Saisons,Créer page archives des saisons,Afficher les saisons disponibles et permettre de consulter les anciennes performances.,Clément,P1,Backlog,M,"frontend, saisons","TNS-046, TNS-047",L'utilisateur peut voir la saison courante et les archives prévues.,Page saisons,S6
TNS-051,S6,Équipes,Créer endpoints de création d'équipe,Permettre à un utilisateur connecté de créer une équipe et devenir capitaine.,Ioanes,P0,Backlog,M,"backend, teams","TNS-033, TNS-027","Un utilisateur peut créer une équipe avec nom, tag et description.",Endpoint create team,S6
TNS-052,S6,Équipes,Créer le système de code d'invitation,Générer un code d'invitation unique et permettre de rejoindre une équipe.,Ioanes,P0,Backlog,M,"backend, teams, invitations",TNS-051,Un utilisateur peut rejoindre une équipe via code valide.,Code invitation,S6
TNS-053,S6,Équipes,Gérer les rôles d'équipe,"Implémenter capitaine, co-capitaine, membre et invité avec permissions.",Ioanes,P0,Backlog,M,"backend, teams, permissions","TNS-051, TNS-052",Les actions sensibles vérifient le rôle côté back-end.,Permissions équipes,S6
TNS-054,S6,Équipes,Créer les pages équipes,"Créer pages mes équipes, création équipe et détail équipe.",Clément,P0,Backlog,L,"frontend, teams","TNS-051, TNS-052","L'utilisateur peut créer, rejoindre et consulter une équipe depuis l'interface.",Pages équipes,S6
TNS-055,S6,Équipes,Afficher les statistiques d'équipe,"Afficher score moyen, K/D moyen, winrate moyen, meilleur joueur et progression.",Clément,P0,Backlog,M,"frontend, teams, stats",TNS-053,La page équipe affiche les statistiques collectives.,Stats équipe UI,S6
TNS-056,S6,Leaderboard,Créer leaderboard d'équipe côté back-end,Calculer et retourner un classement des équipes par score moyen ou total.,Ioanes,P1,Backlog,M,"backend, leaderboard, teams","TNS-053, TNS-044",L'API retourne un leaderboard d'équipe cohérent.,Endpoint leaderboard équipes,S7
TNS-057,S6,Leaderboard,Créer page leaderboard d'équipe,"Afficher le classement des équipes avec score moyen, K/D, winrate et membres.",Clément,P1,Backlog,M,"frontend, leaderboard, teams",TNS-056,Le classement équipe est consultable et responsive.,Page leaderboard équipes,S7
TNS-058,S7,Chat,Configurer Socket.io côté back-end,Installer et configurer Socket.io serveur avec authentification.,Ioanes,P0,Backlog,M,"backend, socketio, chat",TNS-033,Le serveur Socket.io accepte seulement les utilisateurs connectés.,Socket.io back configuré,S7
TNS-059,S7,Chat,Créer rooms de chat par équipe,Associer chaque équipe à une room et vérifier que seuls les membres y accèdent.,Ioanes,P0,Backlog,M,"backend, socketio, teams","TNS-058, TNS-053",Un utilisateur hors équipe ne peut pas rejoindre le chat.,Rooms sécurisées,S7
TNS-060,S7,Chat,Persister l'historique des messages,"Sauvegarder les messages d'équipe avec auteur, date et conversation.",Ioanes,P0,Backlog,M,"backend, chat, bdd","TNS-059, TNS-027",Les messages restent visibles après refresh.,Historique chat,S7
TNS-061,S7,Chat,Créer l'interface chat d'équipe,"Créer l'écran de chat avec liste des messages, champ d'envoi et réception temps réel.",Clément,P0,Backlog,L,"frontend, chat, socketio","TNS-058, TNS-060",Les membres peuvent échanger des messages en temps réel.,UI chat équipe,S7
TNS-062,S7,Chat,Afficher statut de connexion simple,Afficher un indicateur en ligne/hors ligne ou activité récente si le temps le permet.,Clément,P2,Backlog,S,"frontend, chat, bonus",TNS-061,Un statut simple est visible sans bloquer le MVP.,Statut utilisateur simple,S8
TNS-063,S8,Sécurité,Ajouter rate limiting sur endpoints sensibles,"Protéger login, register, messages et invitations contre les abus.",Ioanes,P0,Backlog,M,"backend, sécurité, rate-limit","TNS-031, TNS-052, TNS-060",Les endpoints sensibles ont une limitation de fréquence.,Rate limiting actif,S8
TNS-064,S8,Sécurité,Chiffrer les messages stockés,Chiffrer le contenu des messages en base avec une clé serveur si réalisable.,Ioanes,P1,Backlog,M,"backend, sécurité, chat",TNS-060,Les messages ne sont pas stockés en clair si la fonctionnalité est activée.,Chiffrement messages,S8
TNS-065,S8,Sécurité,Nettoyer les logs sensibles,"Vérifier que les logs ne contiennent pas mots de passe, tokens ou contenus privés.",Ioanes,P0,Backlog,S,"backend, sécurité, logs","TNS-031, TNS-060",Aucune donnée sensible évidente n'est loggée.,Logs vérifiés,S8
TNS-066,S8,Sécurité,Vérifier le cache PWA à la déconnexion,S'assurer que les données privées ne restent pas accessibles via le cache après logout.,Clément,P0,Backlog,M,"frontend, pwa, sécurité","TNS-018, TNS-035","Après déconnexion, les pages privées et données sensibles ne restent pas visibles.",Cache PWA vérifié,S8
TNS-067,S8,Tests,Tester le parcours complet MVP,"Tester inscription, login, stats, leaderboard, équipe, invitation, chat et logout.",Binôme,P0,Backlog,L,"tests, mvp, intégration","TNS-035, TNS-049, TNS-054, TNS-061",Le scénario MVP fonctionne de bout en bout.,Checklist test MVP,S8
TNS-068,S8,Demo,Créer le mode démo,Ajouter un compte démo ou un bouton permettant d'afficher rapidement des données remplies.,Clément,P0,Backlog,M,"frontend, demo","TNS-029, TNS-042",La démo peut être lancée sans dépendre d'une API externe.,Mode démo,S8
TNS-069,S8,Demo,Préparer les données de soutenance,"Vérifier joueurs fictifs, équipes, saisons, leaderboards et messages avant présentation.",Ioanes,P0,Backlog,M,"bdd, demo, seed",TNS-029,Les écrans principaux sont remplis avec des données crédibles.,Dataset démo prêt,S8
TNS-070,S8,Documentation,Rédiger la documentation API finale,"Documenter endpoints principaux, modèles de données et exemples de requêtes.",Ioanes,P1,Backlog,M,"documentation, api, backend",TNS-025,Les endpoints MVP sont documentés.,Documentation API,S8
TNS-071,S8,Documentation,Préparer le scénario de soutenance,"Écrire le déroulé de démonstration : landing, login, dashboard, stats, leaderboard, équipe, chat, PWA.",Clément,P1,Backlog,S,"documentation, soutenance, demo","TNS-067, TNS-068",Le scénario de présentation est clair et chronométrable.,Script soutenance,S8
TNS-072,S8,Qualité,Faire une passe responsive finale,Tester toutes les pages MVP sur mobile et corriger les problèmes visuels majeurs.,Clément,P0,Backlog,M,"frontend, responsive, pwa","TNS-015, TNS-049, TNS-054, TNS-061",Toutes les pages MVP sont utilisables sur mobile.,Responsive validé,S8
TNS-073,S8,Qualité,Faire une passe bugs et polish final,Corriger les bugs bloquants et harmoniser l'interface avant soutenance.,Binôme,P0,Backlog,L,"qualité, polish, mvp",TNS-067,Aucun bug bloquant connu sur le scénario de démo.,MVP stabilisé,S8
